commit_idx,seed,source,target,dfs_depth,probability,threshold,accepted,actual_target,cochange_prior
500,316,316,1,0,0.20626598596572876,0.9500000000000004,0,0,0.02702702702702703
500,316,316,15,0,0.17079851031303406,0.9500000000000004,0,0,0.025
500,316,316,18,0,0.18801946938037872,0.9500000000000004,0,0,0.030303030303030304
500,316,316,25,0,0.564784586429596,0.9500000000000004,0,0,0.030303030303030304
500,316,316,28,0,0.7779970169067383,0.9500000000000004,0,0,0.09090909090909091
500,316,316,29,0,0.3736734986305237,0.9500000000000004,0,0,0.025
500,316,316,3,0,0.15582355856895447,0.9500000000000004,0,0,0.025
500,316,316,30,0,0.33104008436203003,0.9500000000000004,0,0,0.030303030303030304
500,316,316,309,0,0.16402266919612885,0.9500000000000004,0,0,0.02564102564102564
500,316,316,31,0,0.3616936504840851,0.9500000000000004,0,0,0.025
500,316,316,315,0,0.4156557321548462,0.9500000000000004,0,0,0.07692307692307693
500,316,316,317,0,0.168414905667305,0.9500000000000004,0,0,0.02702702702702703
500,316,316,318,0,0.1556081920862198,0.9500000000000004,0,0,0.02702702702702703
500,316,316,327,0,0.7163814902305603,0.9500000000000004,0,0,0.030303030303030304
500,316,316,334,0,0.25499799847602844,0.9500000000000004,0,0,0.030303030303030304
500,316,316,335,0,0.28174397349357605,0.9500000000000004,0,0,0.09090909090909091
500,316,316,336,0,0.646368682384491,0.9500000000000004,0,0,0.06060606060606061
500,316,316,347,0,0.40831562876701355,0.9500000000000004,0,0,0.030303030303030304
500,316,316,35,0,0.8965951800346375,0.9500000000000004,0,0,0.2222222222222222
500,316,316,354,0,0.20004162192344666,0.9500000000000004,0,0,0.06451612903225806
500,316,316,355,0,0.6362829208374023,0.9500000000000004,0,0,0.27586206896551724
500,316,316,356,0,0.2249559909105301,0.9500000000000004,0,0,0.03571428571428571
500,316,316,357,0,0.2107592523097992,0.9500000000000004,0,0,0.03571428571428571
500,316,316,358,0,0.1492166817188263,0.9500000000000004,0,0,0.03571428571428571
500,316,316,364,0,0.17915865778923035,0.9500000000000004,0,0,0.045454545454545456
500,316,316,37,0,0.18293824791908264,0.9500000000000004,0,0,0.025
500,316,316,39,0,0.6235227584838867,0.9500000000000004,0,0,0.03225806451612903
500,316,316,407,0,0.8873729705810547,0.9500000000000004,0,0,0.7
500,316,316,412,0,0.8935194611549377,0.9500000000000004,0,0,0.75
500,316,316,446,0,0.43078431487083435,0.9500000000000004,0,0,0.1
500,316,316,451,0,0.5197714567184448,0.9500000000000004,0,0,0.3
500,316,316,452,0,0.17059822380542755,0.9500000000000004,0,0,0.07142857142857142
500,316,316,453,0,0.4778638780117035,0.9500000000000004,0,0,0.23076923076923078
500,316,316,454,0,0.5541213154792786,0.9500000000000004,0,0,0.23076923076923078
500,316,316,465,0,0.2525462806224823,0.9500000000000004,0,0,0.16666666666666666
500,316,316,466,0,0.2525462806224823,0.9500000000000004,0,0,0.16666666666666666
500,316,316,467,0,0.17325778305530548,0.9500000000000004,0,0,0.08333333333333333
500,316,316,468,0,0.17325778305530548,0.9500000000000004,0,0,0.08333333333333333
500,316,316,477,0,0.5458317995071411,0.9500000000000004,0,0,0.1
500,316,316,5,0,0.7806907296180725,0.9500000000000004,0,0,0.125
500,316,316,51,0,0.3635121285915375,0.9500000000000004,0,0,0.025
500,316,316,579,0,0.8498549461364746,0.9500000000000004,0,0,0.5555555555555556
500,316,316,580,0,0.22439496219158173,0.9500000000000004,0,0,0.1111111111111111
500,316,316,633,0,0.8400581479072571,0.9500000000000004,0,0,0.8
501,754,754,316,0,0.9794602394104004,0.9500000000000004,1,0,0.2
501,754,754,752,0,0.9839313626289368,0.9500000000000004,1,0,1.0
501,754,754,759,0,0.969364583492279,0.9500000000000004,1,0,0.4
502,761,761,752,0,0.9434716105461121,0.9500000000000004,0,1,0.7142857142857143
502,761,761,754,0,0.9344570636749268,0.9500000000000004,0,0,0.5714285714285714
502,761,761,756,0,0.21424537897109985,0.9500000000000004,0,0,0.16666666666666666
502,761,761,759,0,0.700910210609436,0.9500000000000004,0,0,0.14285714285714285
502,761,761,760,0,0.20302747189998627,0.9500000000000004,0,0,0.14285714285714285
502,761,761,762,0,0.8324885368347168,0.9500000000000004,0,0,0.2857142857142857
502,761,761,763,0,0.9608109593391418,0.9500000000000004,1,0,0.875
502,761,761,764,0,0.19333484768867493,0.9500000000000004,0,0,0.125
502,761,761,766,0,0.19333484768867493,0.9500000000000004,0,0,0.125
502,761,761,771,0,0.7554949522018433,0.9500000000000004,0,0,0.25
502,761,763,316,1,0.9417515993118286,0.9500000000000004,0,0,0.125
502,761,763,752,1,0.9694547057151794,0.9500000000000004,1,1,0.7142857142857143
502,761,763,754,1,0.9675293564796448,0.9500000000000004,1,0,0.5714285714285714
