commit_idx,seed,source,target,dfs_depth,probability,threshold,accepted,actual_target,cochange_prior
176,34,34,167,0,0.9695245027542114,0.9500000000000004,1,0,0.4166666666666667
176,34,34,173,0,0.17747528851032257,0.9500000000000004,0,0,0.25
176,34,34,180,0,0.7605983018875122,0.9500000000000004,0,0,0.24489795918367346
176,34,34,21,0,0.8814137578010559,0.9500000000000004,0,0,0.20408163265306123
176,34,34,38,0,0.9517049193382263,0.9500000000000004,1,0,0.34615384615384615
176,34,34,389,0,0.8223907947540283,0.9500000000000004,0,0,0.38095238095238093
176,34,34,66,0,0.6561864614486694,0.9500000000000004,0,1,0.24
176,34,34,680,0,0.8760402798652649,0.9500000000000004,0,0,0.375
176,34,34,816,0,0.6875864267349243,0.9500000000000004,0,0,0.6666666666666666
176,34,34,817,0,0.7687621712684631,0.9500000000000004,0,0,0.2857142857142857
176,34,38,173,1,0.12549179792404175,0.9500000000000004,0,0,0.2
176,34,38,180,1,0.6974970102310181,0.9500000000000004,0,0,0.2037037037037037
176,34,38,21,1,0.8436087369918823,0.9500000000000004,0,0,0.2222222222222222
176,34,38,332,1,0.19307366013526917,0.9500000000000004,0,0,0.2222222222222222
176,34,38,389,1,0.8276647329330444,0.9500000000000004,0,0,0.26666666666666666
176,34,38,55,1,0.8596693277359009,0.9500000000000004,0,0,0.35185185185185186
176,34,38,680,1,0.7709594964981079,0.9500000000000004,0,0,0.5897435897435898
176,34,38,736,1,0.5616449117660522,0.9500000000000004,0,0,0.21052631578947367
176,34,38,817,1,0.7197621464729309,0.9500000000000004,0,0,0.3333333333333333
176,34,167,176,1,0.5547996759414673,0.9500000000000004,0,0,0.22916666666666666
176,34,167,180,1,0.7573848366737366,0.9500000000000004,0,0,0.4375
176,34,167,200,1,0.11812948435544968,0.9500000000000004,0,0,0.2
176,34,167,21,1,0.9026685357093811,0.9500000000000004,0,0,0.375
176,34,167,332,1,0.17289191484451294,0.9500000000000004,0,0,0.2
176,34,167,389,1,0.8905117511749268,0.9500000000000004,0,0,0.39473684210526316
176,34,167,55,1,0.8553862571716309,0.9500000000000004,0,0,0.20833333333333334
176,34,167,680,1,0.7740602493286133,0.9500000000000004,0,0,0.5454545454545454
176,34,167,736,1,0.5999274849891663,0.9500000000000004,0,0,0.23076923076923078
